Date,result
01/01/2015,2611
02/01/2015,5155
03/01/2015,1718
04/01/2015,3711
05/01/2015,5262
06/01/2015,2086
07/01/2015,3063
08/01/2015,2976
09/01/2015,4237
10/01/2015,2694
11/01/2015,3486
12/01/2015,2168
13/01/2015,5520
14/01/2015,4598
15/01/2015,5812
16/01/2015,5729
17/01/2015,4265
18/01/2015,2548
19/01/2015,4687
20/01/2015,6316
21/01/2015,5402
22/01/2015,6424
23/01/2015,4774
24/01/2015,3504
25/01/2015,5210
26/01/2015,2448
27/01/2015,4102
28/01/2015,5131
29/01/2015,4679
30/01/2015,4905
31/01/2015,3371
01/02/2015,3621
02/02/2015,3911
03/02/2015,5162
04/02/2015,6138
05/02/2015,5076
06/02/2015,5006
07/02/2015,5036
08/02/2015,6829
09/02/2015,5017
10/02/2015,5768
11/02/2015,6708
12/02/2015,5509
13/02/2015,4078
14/02/2015,3004
15/02/2015,1055
16/02/2015,1335
17/02/2015,1198
18/02/2015,3183
19/02/2015,2720
20/02/2015,2517
21/02/2015,758
22/02/2015,2021
23/02/2015,3655
24/02/2015,3921
25/02/2015,5016
26/02/2015,3531
27/02/2015,4699
28/02/2015,3294
01/03/2015,802
02/03/2015,4118
03/03/2015,3884
04/03/2015,4187
05/03/2015,560
06/03/2015,1987
07/03/2015,3271
08/03/2015,5529
09/03/2015,8175
10/03/2015,4015
11/03/2015,7909
12/03/2015,9215
13/03/2015,8084
14/03/2015,3669
15/03/2015,6668
16/03/2015,9022
17/03/2015,9246
18/03/2015,7527
19/03/2015,8202
20/03/2015,2956
21/03/2015,9436
22/03/2015,8233
23/03/2015,8134
24/03/2015,7875
25/03/2015,7553
26/03/2015,8778
27/03/2015,6141
28/03/2015,4676
29/03/2015,5861
30/03/2015,9196
31/03/2015,8198
01/04/2015,9874
02/04/2015,11273
03/04/2015,6425
04/04/2015,10433
05/04/2015,10181
06/04/2015,12638
07/04/2015,11109
08/04/2015,7437
09/04/2015,7826
10/04/2015,9393
11/04/2015,16726
12/04/2015,15724
13/04/2015,12676
14/04/2015,3824
15/04/2015,11119
16/04/2015,11687
17/04/2015,12546
18/04/2015,16004
19/04/2015,10250
20/04/2015,9066
21/04/2015,11630
22/04/2015,10540
23/04/2015,10106
24/04/2015,10370
25/04/2015,7177
26/04/2015,10327
27/04/2015,8864
28/04/2015,10995
29/04/2015,11652
30/04/2015,10255
01/05/2015,10351
02/05/2015,12570
03/05/2015,12098
04/05/2015,11987
05/05/2015,11093
06/05/2015,11483
07/05/2015,12316
08/05/2015,13427
09/05/2015,112841
10/05/2015,11089
11/05/2015,12133
12/05/2015,12056
13/05/2015,11774
14/05/2015,12615
15/05/2015,13641
16/05/2015,11196
17/05/2015,10933
18/05/2015,10442
19/05/2015,12063
20/05/2015,12981
21/05/2015,6981
22/05/2015,12522
23/05/2015,12706
24/05/2015,13564
25/05/2015,11990
26/05/2015,11351
27/05/2015,11470
28/05/2015,11625
29/05/2015,12058
30/05/2015,12657
31/05/2015,10917
01/06/2015,8101
02/06/2015,8054
03/06/2015,9879
04/06/2015,6356
05/06/2015,11075
06/06/2015,12665
07/06/2015,11661
08/06/2015,9959
09/06/2015,11764
10/06/2015,11586
11/06/2015,11844
12/06/2015,10867
13/06/2015,11754
14/06/2015,9490
15/06/2015,9975
16/06/2015,11492
17/06/2015,11173
18/06/2015,9990
19/06/2015,12019
20/06/2015,9305
21/06/2015,8775
22/06/2015,11258
23/06/2015,9184
24/06/2015,12581
25/06/2015,11119
26/06/2015,13027
27/06/2015,3301
28/06/2015,11601
29/06/2015,12191
30/06/2015,11970
01/07/2015,11223
02/07/2015,11257
03/07/2015,12791
04/07/2015,10288
05/07/2015,12199
06/07/2015,10902
07/07/2015,12223
08/07/2015,9495
09/07/2015,11045
10/07/2015,13013
11/07/2015,12420
12/07/2015,11711
13/07/2015,10224
14/07/2015,11591
15/07/2015,12088
16/07/2015,13257
17/07/2015,12627
18/07/2015,11096
19/07/2015,10148
20/07/2015,10856
21/07/2015,11811
22/07/2015,12934
23/07/2015,12992
24/07/2015,13339
25/07/2015,12902
26/07/2015,11314
27/07/2015,10919
28/07/2015,11976
29/07/2015,12170
30/07/2015,10808
31/07/2015,12396
01/08/2015,12043
02/08/2015,11447
03/08/2015,12085
04/08/2015,11626
05/08/2015,12501
06/08/2015,12617
07/08/2015,12181
08/08/2015,12970
09/08/2015,11651
10/08/2015,10494
11/08/2015,11342
12/08/2015,12485
13/08/2015,12435
14/08/2015,12549
15/08/2015,12082
16/08/2015,10192
17/08/2015,10971
18/08/2015,11595
19/08/2015,11966
20/08/2015,10192
21/08/2015,12902
22/08/2015,12339
23/08/2015,10981
24/08/2015,10283
25/08/2015,12672
26/08/2015,12330
27/08/2015,12406
28/08/2015,12210
29/08/2015,11526
30/08/2015,10188
31/08/2015,11052
01/09/2015,11522
02/09/2015,11378
03/09/2015,11131
04/09/2015,11050
05/09/2015,10867
06/09/2015,12400
07/09/2015,10351
08/09/2015,10965
09/09/2015,11065
10/09/2015,10356
11/09/2015,12167
12/09/2015,6665
13/09/2015,10397
14/09/2015,11156
15/09/2015,11943
16/09/2015,11938
17/09/2015,11949
18/09/2015,11956
19/09/2015,11580
20/09/2015,10998
21/09/2015,7816
22/09/2015,11952
23/09/2015,12773
24/09/2015,12514
25/09/2015,11403
26/09/2015,11038
27/09/2015,9979
28/09/2015,11305
29/09/2015,7240
30/09/2015,10184
01/10/2015,4799
02/10/2015,2079
03/10/2015,4050
04/10/2015,6624
05/10/2015,10445
06/10/2015,11551
07/10/2015,11734
08/10/2015,11711
09/10/2015,10501
10/10/2015,10269
11/10/2015,10491
12/10/2015,10495
13/10/2015,10803
14/10/2015,11406
15/10/2015,11506
16/10/2015,11263
17/10/2015,8782
18/10/2015,6978
19/10/2015,9074
20/10/2015,10036
21/10/2015,10678
22/10/2015,11287
23/10/2015,11470
24/10/2015,9730
25/10/2015,8587
26/10/2015,9973
27/10/2015,9797
28/10/2015,5179
29/10/2015,10632
30/10/2015,9700
31/10/2015,8721
01/11/2015,7211
02/11/2015,9446
03/11/2015,10508
04/11/2015,10822
05/11/2015,10553
06/11/2015,11609
07/11/2015,5610
08/11/2015,8995
09/11/2015,6715
10/11/2015,5773
11/11/2015,8901
12/11/2015,8476
13/11/2015,9262
14/11/2015,7171
15/11/2015,7441
16/11/2015,9156
17/11/2015,9226
18/11/2015,9768
19/11/2015,6255
20/11/2015,9097
21/11/2015,7299
22/11/2015,4948
23/11/2015,6601
24/11/2015,7500
25/11/2015,6864
26/11/2015,3394
27/11/2015,6240
28/11/2015,6418
29/11/2015,2877
30/11/2015,4160
01/12/2015,3954
02/12/2015,5740
03/12/2015,7969
04/12/2015,7940
05/12/2015,7087
06/12/2015,5979
07/12/2015,7928
08/12/2015,8458
09/12/2015,7982
10/12/2015,8685
11/12/2015,8722
12/12/2015,8720
13/12/2015,8034
14/12/2015,6645
15/12/2015,8804
16/12/2015,8624
17/12/2015,4553
18/12/2015,6698
19/12/2015,-4279
20/12/2015,4219
21/12/2015,6675
22/12/2015,4934
23/12/2015,2263
24/12/2015,2796
25/12/2015,1502
26/12/2015,2702
27/12/2015,4623
28/12/2015,4459
29/12/2015,5253
30/12/2015,5275
31/12/2015,5855
01/01/2016,3220
02/01/2016,4922
03/01/2016,4964
04/01/2016,5133
05/01/2016,4850
06/01/2016,5712
07/01/2016,6592
08/01/2016,6153
09/01/2016,5314
10/01/2016,5663
11/01/2016,6294
12/01/2016,6490
13/01/2016,5620
14/01/2016,7164
15/01/2016,5983
16/01/2016,5908
17/01/2016,3400
18/01/2016,2499
19/01/2016,3912
20/01/2016,4321
21/01/2016,4228
22/01/2016,2985
27/01/2016,528
28/01/2016,2022
29/01/2016,2942
30/01/2016,2822
31/01/2016,3611
01/02/2016,4604
02/02/2016,6584
03/02/2016,4243
04/02/2016,6691
05/02/2016,5822
06/02/2016,5042
07/02/2016,4664
08/02/2016,5994
09/02/2016,4053
10/02/2016,5493
11/02/2016,4246
12/02/2016,4363
13/02/2016,1535
14/02/2016,1851
15/02/2016,501
16/02/2016,3238
17/02/2016,6097
18/02/2016,5822
19/02/2016,5633
20/02/2016,8245
21/02/2016,4254
22/02/2016,7148
23/02/2016,2585
24/02/2016,3279
25/02/2016,6330
26/02/2016,5345
27/02/2016,5432
28/02/2016,8732
29/02/2016,7828
01/03/2016,8588
02/03/2016,5918
03/03/2016,5902
04/03/2016,5345
05/03/2016,5334
06/03/2016,5899
07/03/2016,9003
08/03/2016,10558
09/03/2016,11214
10/03/2016,10954
11/03/2016,11220
12/03/2016,10427
13/03/2016,5194
14/03/2016,7671
15/03/2016,8558
16/03/2016,13356
17/03/2016,10673
18/03/2016,11429
19/03/2016,3227
20/03/2016,4532
21/03/2016,7580
22/03/2016,9763
23/03/2016,12340
24/03/2016,13363
25/03/2016,12212
26/03/2016,14116
27/03/2016,8564
28/03/2016,8430
29/03/2016,10221
30/03/2016,10873
31/03/2016,11029
01/04/2016,10875
02/04/2016,9281
03/04/2016,6800
04/04/2016,207398
05/04/2016,7512
06/04/2016,9068
07/04/2016,5433
08/04/2016,9529
09/04/2016,4069
10/04/2016,7421
11/04/2016,9456
12/04/2016,8583
13/04/2016,10131
14/04/2016,10523
15/04/2016,11395
16/04/2016,13505
17/04/2016,12367
18/04/2016,11882
19/04/2016,11927
20/04/2016,11650
21/04/2016,11447
22/04/2016,11093
23/04/2016,8487
24/04/2016,11948
25/04/2016,11694
26/04/2016,11718
27/04/2016,8360
28/04/2016,5195
29/04/2016,8258
30/04/2016,8511
01/05/2016,4376
02/05/2016,8139
03/05/2016,8132
04/05/2016,9625
05/05/2016,8726
06/05/2016,3102
07/05/2016,9225
08/05/2016,10803
09/05/2016,9164
10/05/2016,10242
11/05/2016,7669
12/05/2016,10805
13/05/2016,10106
14/05/2016,9389
15/05/2016,8507
16/05/2016,11357
17/05/2016,5374
18/05/2016,10583
19/05/2016,11720
20/05/2016,13860
21/05/2016,4432
22/05/2016,2851
23/05/2016,8048
24/05/2016,13235
25/05/2016,12786
26/05/2016,12188
27/05/2016,12139
28/05/2016,11560
29/05/2016,9069
30/05/2016,9930
31/05/2016,11578
01/06/2016,12355
02/06/2016,12366
03/06/2016,8517
04/06/2016,11991
05/06/2016,9378
06/06/2016,12468
07/06/2016,13271
08/06/2016,13586
09/06/2016,13423
10/06/2016,13730
11/06/2016,11993
12/06/2016,11023
13/06/2016,13161
14/06/2016,13949
15/06/2016,12954
16/06/2016,11056
17/06/2016,13290
18/06/2016,13550
19/06/2016,11830
20/06/2016,12912
21/06/2016,9513
22/06/2016,13902
23/06/2016,9435
24/06/2016,12405
25/06/2016,13600
26/06/2016,12356
27/06/2016,11922
28/06/2016,11064
29/06/2016,13778
30/06/2016,13318
01/07/2016,12405
02/07/2016,14072
03/07/2016,13036
04/07/2016,7600
05/07/2016,11970
06/07/2016,12448
07/07/2016,12218
08/07/2016,11581
09/07/2016,12198
10/07/2016,11981
11/07/2016,12710
12/07/2016,13168
13/07/2016,12520
14/07/2016,12086
15/07/2016,12613
16/07/2016,13837
17/07/2016,15526
18/07/2016,9729
19/07/2016,12325
20/07/2016,13300
21/07/2016,12862
22/07/2016,12105
23/07/2016,10261
24/07/2016,9615
25/07/2016,10275
26/07/2016,11150
27/07/2016,11564
28/07/2016,9364
29/07/2016,12148
30/07/2016,8930
31/07/2016,10838
01/08/2016,11948
02/08/2016,13369
03/08/2016,13587
04/08/2016,13555
05/08/2016,13186
06/08/2016,11340
07/08/2016,11962
08/08/2016,11926
09/08/2016,12424
10/08/2016,12258
11/08/2016,11466
12/08/2016,10853
13/08/2016,8717
14/08/2016,7708
15/08/2016,9240
16/08/2016,11316
17/08/2016,10988
18/08/2016,11821
19/08/2016,11915
20/08/2016,11534
21/08/2016,7252
22/08/2016,12349
23/08/2016,13042
24/08/2016,12753
25/08/2016,12524
26/08/2016,11296
27/08/2016,11197
28/08/2016,10528
29/08/2016,11429
30/08/2016,12214
31/08/2016,11609
01/09/2016,9990
02/09/2016,12709
03/09/2016,11019
04/09/2016,12784
05/09/2016,11211
06/09/2016,11749
07/09/2016,11027
08/09/2016,11468
09/09/2016,11409
10/09/2016,10372
11/09/2016,11573
12/09/2016,12307
13/09/2016,12802
14/09/2016,12520
15/09/2016,13265
16/09/2016,13205
17/09/2016,12895
18/09/2016,11338
19/09/2016,8459
20/09/2016,12625
21/09/2016,12486
22/09/2016,12725
23/09/2016,13336
24/09/2016,13092
25/09/2016,11943
26/09/2016,11451
27/09/2016,12351
28/09/2016,7723
29/09/2016,5886
30/09/2016,8526
01/10/2016,6629
02/10/2016,10444
03/10/2016,12301
04/10/2016,12794
05/10/2016,12590
06/10/2016,12362
07/10/2016,13195
08/10/2016,5125
09/10/2016,10026
10/10/2016,10415
11/10/2016,11529
12/10/2016,11797
13/10/2016,12239
14/10/2016,12471
15/10/2016,12319
16/10/2016,11253
17/10/2016,11905
18/10/2016,12986
19/10/2016,12922
20/10/2016,13019
21/10/2016,10585
22/10/2016,8904
23/10/2016,9605
24/10/2016,10800
25/10/2016,11181
26/10/2016,10697
27/10/2016,9280
28/10/2016,10627
29/10/2016,11615
30/10/2016,10902
31/10/2016,10726
01/11/2016,11369
02/11/2016,12123
03/11/2016,11958
04/11/2016,11980
05/11/2016,11303
06/11/2016,9840
07/11/2016,10155
08/11/2016,12026
09/11/2016,7399
10/11/2016,10251
11/11/2016,9848
12/11/2016,8327
13/11/2016,8155
14/11/2016,9210
15/11/2016,10395
16/11/2016,10046
17/11/2016,10495
18/11/2016,11253
19/11/2016,8247
20/11/2016,3826
21/11/2016,6826
22/11/2016,7626
23/11/2016,6903
24/11/2016,3328
25/11/2016,5831
26/11/2016,4991
27/11/2016,4867
28/11/2016,8027
29/11/2016,6331
30/11/2016,6170
01/12/2016,9131
02/12/2016,8411
03/12/2016,6209
04/12/2016,5264
05/12/2016,8210
06/12/2016,3893
07/12/2016,8655
08/12/2016,7993
09/12/2016,6419
10/12/2016,4202
11/12/2016,3815
12/12/2016,7037
13/12/2016,7743
14/12/2016,7610
15/12/2016,4556
16/12/2016,4517
17/12/2016,2319
18/12/2016,3313
19/12/2016,6328
20/12/2016,6106
21/12/2016,6587
22/12/2016,6187
23/12/2016,4209
24/12/2016,1372
25/12/2016,2155
26/12/2016,2361
27/12/2016,5803
28/12/2016,6396
29/12/2016,4254
30/12/2016,4447
31/12/2016,3217
,
,
,
,
,0
